,,,,,,
subset,size(gb),subsize(gb),filename,dryad_datasetname,doi,
1,,,,DrosSponSleep_SciAdvances2023_01,,
,92,,02_27072018_SponSleep_LFP,,,
,63,,03_14092018_SponSleep_LFP,,,
,65,,04_17092018_SponSleep_LFP,,,
,67,,06_30102018_SponSleep_LFP,,,
,,,readme,,,
,,287,,,,
2,,,,DrosSponSleep_SciAdvances2023_02,,
,67,,07_01112018_SponSleep_LFP,,,
,76,,08_03112018_SponSleep_LFP,,,
,83,,09_13112018_SponSleep_LFP,,,
,70,,12_28112018_SponSleep_LFP,,,
,,,readme,,,
,,296,,,,
3,,,,DrosSponSleep_SciAdvances2023_03,,
,72,,14_11122018_SponSleep_LFP,,,
,77,,15_13122018_SponSleep_LFP,,,
,50,,16_18122018_SponSleep_LFP,,,
,85,,17_10012019_SponSleep_LFP,,,
,,,readme,,,
,,284,,,,
4,,,,DrosSponSleep_SciAdvances2023_04,,
,81,,18_17012019_SponSleep_LFP,,,
,88,,19_22012019_SponSleep_LFP,,,
,,,readme,,,
,,169,,,,
5,,,,DrosSponSleep_SciAdvances2023_05,,
,102,,21_20022019_SponSleep_LFP,,,
,87,,23_13032019_SponSleep_LFP,,,
,,,readme,,,
,,189,,,,
,1225,,,,,
